OrdreOrig;Stimulus;Sequence;Liste tournante 5;Liste tournante 4
225;Adrien_t2-22bands-fc-128-NoiseCarrier.wav;Adrien_t2;4;1
226;Adrien_tu-4bands-fc-128-NoiseCarrier.wav;Adrien_tu;1;2
227;Adrien_tu-8bands-fc-128-NoiseCarrier.wav;Adrien_tu;2;3
228;Adrien_tu-12bands-fc-128-NoiseCarrier.wav;Adrien_tu;3;4
229;Adrien_tu-16bands-fc-128-NoiseCarrier.wav;Adrien_tu;4;2
230;Adrien_tu-22bands-fc-128-NoiseCarrier.wav;Adrien_tu;5;3
231;Adrien_to-4bands-fc-128-NoiseCarrier.wav;Adrien_to;2;4
232;Adrien_to-8bands-fc-128-NoiseCarrier.wav;Adrien_to;3;1
233;Adrien_to-12bands-fc-128-NoiseCarrier.wav;Adrien_to;4;3
234;Adrien_to-16bands-fc-128-NoiseCarrier.wav;Adrien_to;5;4
235;Adrien_to-22bands-fc-128-NoiseCarrier.wav;Adrien_to;1;1
236;Adrien_ta~-4bands-fc-128-NoiseCarrier.wav;Adrien_ta~;3;2
237;Adrien_ta~-8bands-fc-128-NoiseCarrier.wav;Adrien_ta~;4;4
238;Adrien_ta~-12bands-fc-128-NoiseCarrier.wav;Adrien_ta~;5;1
239;Adrien_ta~-16bands-fc-128-NoiseCarrier.wav;Adrien_ta~;1;2
240;Adrien_ta~-22bands-fc-128-NoiseCarrier.wav;Adrien_ta~;2;3
241;Adrien_to~-4bands-fc-128-NoiseCarrier.wav;Adrien_to~;4;1
242;Adrien_to~-8bands-fc-128-NoiseCarrier.wav;Adrien_to~;5;2
243;Adrien_to~-12bands-fc-128-NoiseCarrier.wav;Adrien_to~;1;3
244;Adrien_to~-16bands-fc-128-NoiseCarrier.wav;Adrien_to~;2;4
245;Adrien_to~-22bands-fc-128-NoiseCarrier.wav;Adrien_to~;3;2
246;Adrien_te~-4bands-fc-128-NoiseCarrier.wav;Adrien_te~;5;3
247;Adrien_te~-8bands-fc-128-NoiseCarrier.wav;Adrien_te~;1;4
248;Adrien_te~-12bands-fc-128-NoiseCarrier.wav;Adrien_te~;2;1
249;Adrien_te~-16bands-fc-128-NoiseCarrier.wav;Adrien_te~;3;3
250;Adrien_te~-22bands-fc-128-NoiseCarrier.wav;Adrien_te~;4;4
251;Adrien_ki-4bands-fc-128-NoiseCarrier.wav;Adrien_ki;1;1
252;Adrien_ki-8bands-fc-128-NoiseCarrier.wav;Adrien_ki;2;2
253;Adrien_ki-12bands-fc-128-NoiseCarrier.wav;Adrien_ki;3;4
254;Adrien_ki-16bands-fc-128-NoiseCarrier.wav;Adrien_ki;4;1
255;Adrien_ki-22bands-fc-128-NoiseCarrier.wav;Adrien_ki;5;2
256;Adrien_ke-4bands-fc-128-NoiseCarrier.wav;Adrien_ke;2;3
257;Adrien_ke-8bands-fc-128-NoiseCarrier.wav;Adrien_ke;3;1
258;Adrien_ke-12bands-fc-128-NoiseCarrier.wav;Adrien_ke;4;2
259;Adrien_ke-16bands-fc-128-NoiseCarrier.wav;Adrien_ke;5;3
260;Adrien_ke-22bands-fc-128-NoiseCarrier.wav;Adrien_ke;1;4
261;Adrien_ka-4bands-fc-128-NoiseCarrier.wav;Adrien_ka;3;2
262;Adrien_ka-8bands-fc-128-NoiseCarrier.wav;Adrien_ka;4;3
263;Adrien_ka-12bands-fc-128-NoiseCarrier.wav;Adrien_ka;5;4
264;Adrien_ka-16bands-fc-128-NoiseCarrier.wav;Adrien_ka;1;1
265;Adrien_ka-22bands-fc-128-NoiseCarrier.wav;Adrien_ka;2;3
266;Adrien_ky-4bands-fc-128-NoiseCarrier.wav;Adrien_ky;4;4
267;Adrien_ky-8bands-fc-128-NoiseCarrier.wav;Adrien_ky;5;1
268;Adrien_ky-12bands-fc-128-NoiseCarrier.wav;Adrien_ky;1;2
269;Adrien_ky-16bands-fc-128-NoiseCarrier.wav;Adrien_ky;2;4
270;Adrien_ky-22bands-fc-128-NoiseCarrier.wav;Adrien_ky;3;1
271;Adrien_k2-4bands-fc-128-NoiseCarrier.wav;Adrien_k2;5;2
272;Adrien_k2-8bands-fc-128-NoiseCarrier.wav;Adrien_k2;1;3
273;Adrien_k2-12bands-fc-128-NoiseCarrier.wav;Adrien_k2;2;1
274;Adrien_k2-16bands-fc-128-NoiseCarrier.wav;Adrien_k2;3;2
275;Adrien_k2-22bands-fc-128-NoiseCarrier.wav;Adrien_k2;4;3
276;Adrien_ku-4bands-fc-128-NoiseCarrier.wav;Adrien_ku;1;4
277;Adrien_ku-8bands-fc-128-NoiseCarrier.wav;Adrien_ku;2;2
278;Adrien_ku-12bands-fc-128-NoiseCarrier.wav;Adrien_ku;3;3
279;Adrien_ku-16bands-fc-128-NoiseCarrier.wav;Adrien_ku;4;4
